"category","title","url","urlToImage"
"health","Biologic treatment for severe asthma listed on PBS - Australian Journal of Pharmacy","https://ajp.com.au/news/biologic-treatment-for-severe-asthma-listed-on-pbs/","https://ajp.com.au/wp-content/uploads/2019/06/woman-trouble-breathing-asthma-1024x682.jpg"
"health","Coronavirus update: Japan considers opening borders to Australia, United States sends Brazil hydroxychloroquine doses - ABC News","https://www.abc.net.au/news/2020-06-01/coronavirus-updates-uk-defends-easing-lockdown/12305848","https://www.abc.net.au/cm/rimage/12228486-16x9-large.jpg?v=2"
"health","Scientists in race to test vaccines - 7NEWS.com.au","https://7news.com.au/news/health/scientists-in-race-to-test-vaccines-c-1072223","https://images.7news.com.au/publication/C-1072223/e15549bd0755987e7d26fee88fb0143fce93c8ee-16x9-x0y0w1280h720.jpg?imwidth=1024"
"health","Chicken farming could lead to apocalyptic virus worse than coronavirus - NEWS.com.au","https://www.news.com.au/lifestyle/health/health-problems/chicken-farming-could-lead-to-apocalyptic-virus-worse-than-coronavirus/news-story/63c87b51da43fd54a76405c8ca279016","https://cdn.newsapi.com.au/image/v1/7d574850520a33f473794c41904bc7e7?width=650"
"health","Findings indicate potential therapeutic interventions for Alzheimer’s and other diseases - News-Medical.Net","https://www.news-medical.net/news/20200601/Findings-indicate-potential-therapeutic-interventions-for-Alzheimere28099s-and-other-diseases.aspx","https://www.news-medical.net/image.axd?picture=2014%2f7%2fProtein-620x480.jpg"
"health","Researchers use optical mapping system to observe the effect of hydroxychloroquine - News-Medical.Net","https://www.news-medical.net/news/20200601/Researchers-use-optical-mapping-system-to-observe-the-effect-of-hydroxychloroquine.aspx","https://www.news-medical.net/image.axd?picture=2017%2f1%2fAnatomy_of_Human_Heart.-Liya_Graphics_5ac9d64765b747899bc4a9ef77468432-620x480.jpg"
"health","Coronavirus seems to be sparing high altitudes - AlKhaleej Today","https://www.alkhaleejtoday.co/international/106618/Coronavirus-seems-to-be-sparing-high-altitudes.html","https://www.alkhaleejtoday.co/temp/resized/medium_2020-06-01-d88acbcfa6.jpg"
"health","Tiny baby who survived coronavirus being hailed as a miracle after 32 days in a coma in a hospital in Rio de Janeiro, Brazil - 7NEWS.com.au","https://7news.com.au/lifestyle/health-wellbeing/tiny-baby-who-survived-coronavirus-being-hailed-as-a-miracle-after-32-days-in-coma-c-1071752","https://images.7news.com.au/publication/C-1071752/b4f3debcadd26b89fb9c83477cc8ece20e49e8be-16x9-x1y0w779h438.jpg?imwidth=1024"
"health","Personal trainer, 33, shares the 15-minute at-home workout that will blast your entire body - Daily Mail","https://www.dailymail.co.uk/femail/article-8374935/Personal-trainer-33-shares-15-minute-home-workout-blast-entire-body.html","https://i.dailymail.co.uk/1s/2020/06/01/01/29055716-0-image-a-2_1590972182811.jpg"
"health","Coronavirus may have been created in a Wuhan lab 'genetic engineering' experiment - Sky News Australia","https://www.youtube.com/watch?v=_TB9WLxs0cA","https://i.ytimg.com/vi/_TB9WLxs0cA/maxresdefault.jpg"
"health","Heart stopping side-effect fears from COVID-19 for Ballarat - Bendigo Advertiser","https://www.thecourier.com.au/story/6775460/heart-stopping-side-effect-fears-from-covid-19-for-ballarat/?cs=2599","https://nnimgt-a.akamaihd.net/transform/v1/crop/frm/XBHRDThPr8rZ8LC4FzPP7b/8dffb655-07df-41ce-871e-1ad2186144ae.JPG/r0_29_792_476_w1200_h678_fmax.jpg"
"health","Mount Isa artist new work on diabetes impact to First Nations - The North West Star","https://www.northweststar.com.au/story/6776802/mount-isa-artist-new-work-on-diabetes-impact-to-first-nations/","https://nnimgt-a.akamaihd.net/transform/v1/crop/frm/Y5kUJ9Q7iPMNzBC9i5WqCU/1c1f7105-72da-46f6-8fb5-c2c3e0f0c9b0.png/r0_3_356_204_w1200_h678_fmax.jpg"
"health","Pregnant in a pandemic? If you're stressed, there's help - The Conversation AU","https://theconversation.com/pregnant-in-a-pandemic-if-youre-stressed-theres-help-138825","https://images.theconversation.com/files/338440/original/file-20200529-51496-1u7d2op.jpg?ixlib=rb-1.1.0&rect=1%2C26%2C997%2C498&q=45&auto=format&w=1356&h=668&fit=crop"
